model,sample_id,course,page,status,has_reference,reference_origin,cer,wer,reading_order_f1,math_symbol_f1,token_recall,token_precision,token_f1,char_lcs_recall,cost_usd,equation,table,multi_column,diagram
allenai/olmOCR-2-7B-1025,te4800__93b9308d57__p0029,te4800,29,ok,True,gold,0.5836298932384342,0.7653061224489796,0.375,0.8888888888888888,0.7346938775510204,0.5070422535211268,0.6,0.8220640569395018,8.49e-05,True,False,True,False
PaddlePaddle/PaddleOCR-VL-0.9B,badm332__1ff5e14d4a__p0017,badm332,17,ok,True,gold,0.05587121212121212,0.053475935828877004,0.631578947368421,1.0,0.946524064171123,1.0,0.9725274725274725,0.9441287878787878,0.00069616,True,False,False,False
PaddlePaddle/PaddleOCR-VL-0.9B,badm332__1ff5e14d4a__p0026,badm332,26,ok,True,gold,0.20562770562770563,0.25203252032520324,0.0,1.0,0.7886178861788617,1.0,0.8818181818181818,0.7987012987012987,0.00057136,False,False,False,False
PaddlePaddle/PaddleOCR-VL-0.9B,comp111__cfba0e6b30__p0019,comp111,19,ok,True,gold,0.043137254901960784,0.023255813953488372,0.6666666666666666,1.0,0.9767441860465116,1.0,0.988235294117647,0.9568627450980393,0.000445,True,False,False,False
PaddlePaddle/PaddleOCR-VL-0.9B,comp111__cfba0e6b30__p0061,comp111,61,ok,True,gold,0.0110803324099723,0.015384615384615385,0.8333333333333334,1.0,0.9846153846153847,1.0,0.9922480620155039,0.9889196675900277,0.0004674,True,False,True,False
PaddlePaddle/PaddleOCR-VL-0.9B,comp113__9187c2f205__p0010,comp113,10,ok,True,gold,0.7817679558011049,0.7150537634408602,0.0,1.0,0.6021505376344086,0.5833333333333334,0.5925925925925927,0.5248618784530387,0.0004698,True,True,True,False
PaddlePaddle/PaddleOCR-VL-0.9B,comp113__9187c2f205__p0057,comp113,57,ok,True,gold,1.0,1.0,0.0,1.0,0.056074766355140186,0.01171875,0.019386106623586426,0.10030395136778116,0.000601,False,False,True,False
PaddlePaddle/PaddleOCR-VL-0.9B,comp116__54b6428524__p0015,comp116,15,ok,True,gold,1.0,1.0,0.023529411764705882,0.0,0.7619047619047619,0.23076923076923078,0.3542435424354244,0.8037735849056604,0.00069616,False,False,False,False
PaddlePaddle/PaddleOCR-VL-0.9B,comp116__54b6428524__p0047,comp116,47,ok,True,gold,0.20610687022900764,0.12121212121212122,0.37037037037037035,1.0,0.9242424242424242,0.953125,0.9384615384615383,0.8778625954198473,0.00054816,True,False,False,True
PaddlePaddle/PaddleOCR-VL-0.9B,comp118__2d50d5b4bc__p0002,comp118,2,ok,True,gold,0.29375,0.375,0.18181818181818182,1.0,0.875,0.84,0.8571428571428572,0.9,0.0004322,False,False,False,False
PaddlePaddle/PaddleOCR-VL-0.9B,comp118__2d50d5b4bc__p0010,comp118,10,ok,True,gold,0.43699731903485256,0.5894736842105263,0.5757575757575758,0.47058823529411764,0.7894736842105263,0.6410256410256411,0.7075471698113207,0.839142091152815,0.0004802,True,False,True,False
PaddlePaddle/PaddleOCR-VL-0.9B,comp201__506a5a69f7__p0151,comp201,151,ok,True,gold,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0004226,True,False,True,True
PaddlePaddle/PaddleOCR-VL-0.9B,comp201__506a5a69f7__p0181,comp201,181,ok,True,gold,0.2628398791540785,0.2727272727272727,0.4,1.0,0.7575757575757576,1.0,0.8620689655172413,0.7371601208459214,0.0004458,False,False,False,False
PaddlePaddle/PaddleOCR-VL-0.9B,comp211__6b99b9fe49__p0151,comp211,151,ok,True,gold,0.42231075697211157,0.4222222222222222,0.8108108108108109,0.6666666666666666,0.5777777777777777,1.0,0.732394366197183,0.5776892430278885,0.000425,True,False,True,True
PaddlePaddle/PaddleOCR-VL-0.9B,comp211__6b99b9fe49__p0181,comp211,181,ok,True,gold,0.2628398791540785,0.2727272727272727,0.4,1.0,0.7575757575757576,1.0,0.8620689655172413,0.7371601208459214,0.0004458,False,False,False,False
PaddlePaddle/PaddleOCR-VL-0.9B,comp212__1ec57b27b0__p0038,comp212,38,ok,True,gold,0.43902439024390244,0.3780487804878049,0.20689655172413793,0.6666666666666666,0.6219512195121951,1.0,0.7669172932330827,0.5609756097560976,0.0004298,True,False,True,True
PaddlePaddle/PaddleOCR-VL-0.9B,comp212__1ec57b27b0__p0074,comp212,74,ok,True,gold,0.22740524781341107,0.20588235294117646,0.9090909090909091,0.0,0.7941176470588235,1.0,0.8852459016393442,0.7725947521865889,0.000449,False,False,False,False
PaddlePaddle/PaddleOCR-VL-0.9B,comp244__9c5889e23e__p0636,comp244,636,ok,True,gold,1.0,1.0,0.3333333333333333,0.7999999999999999,0.9382716049382716,0.40860215053763443,0.5692883895131087,0.9704697986577181,0.00071106,True,False,True,False
